ID,Materia,Curso,Tipo,Link
41009,efeitos da tributação no resultado e no valor das empresas,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=41009,&d=false"
41004,agronegócio - economia e políticas,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=41004,&d=false"
40948,r para ciência de dados,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=40948,&d=false"
40946,modelagem preditiva avançada,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=40946,&d=false"
40941,virtual reality,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=40941,&d=false"
40935,algotrading,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=40935,&d=false"
40816,computação gráfica,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=40816,&d=false"
40796,simulação computacional - métodos dos elementos finitos,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=40796,&d=false"
40444,álgebra linear e finanças,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=40444,&d=false"
40259,sistemas inteligentes de extração de conhecimento em redes complexas,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=40259,&d=false"
39477,engineering analytics i,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=39477,&d=false"
39463,startup entrepreneurial ecosystems,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=39463,&d=false"
39143,veículos híbridos elétricos autônomos,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=39143,&d=false"
38913,coding interviews,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=38913,&d=false"
37899,fundamentos da gestão pública,engenharia de computação,eletiva,"https://cgi.insper.edu.br/DiarioDeClasse/PlanoDeAula/PlanoDeAulaPDF.aspx?t=Plano%20de%20Aula%20Atualizado&id=37899,&d=false"
